# Reference: Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock
Haplogroup	Time estimate (years)	SD (years)
L2ad	84118.8	7545.7
L2a	79304.6	8308.8
L2a14	45707.4	8472.9
L2a1	23821.9	5584.4
L2a1a	10063.6	2788.6
L2a1a1	3501.3	2646
L2a1a2	7942.7	2496.2
L2a1a2a	6573.2	2474.8
L2a1a2a1	4117.1	2210.9
L2a1a3	6936.9	3230.8
L2a1b	5800.9	3972.5
L2a1f	5267.2	2745.8
L2a1f1	4065.2	2403.5
L2a1c	14156.6	3423.4
L2a1c1	7053.1	2881.3
L2a1c1a	5586.2	2703
L2a1c3	11591.2	5912.5
L2a1c4	4917.7	3680.1
L2a1c5	6210.2	4978.2
L2a1d	7476.1	3772.8
L2a1e	11824.5	4714.3
L2a1e1	7232.7	4086.7
L2a1h	12183	5042.3
L2a1i	9312.7	4129.4
L2a1j	5168	4307.7
L2a1k	9312.7	4043.9
L2a1l	9784.3	3544.6
L2a1l1	6236.5	3494.7
L2a1l2	8458.5	3601.7
L2a1l2a	2374.4	2146.7
L2a1l2a1	920.7	1897.1
L2a1m	5272.5	3837
L2a234	33475.7	7324.6
L2a23	23167.1	6483
L2a2	21003.6	5170.7
L2a2a	10833.9	4429
L2a2a1	8043.6	4172.2
L2a2b	15651.7	4992.4
L2a2b1	3336.1	3430.5
L2a4	2564.2	2553.3
L2a5	1317.2	1989.8
L2bcd	5294.2	3742.7
L2bc	56949.3	8344.5
L2b	21259.4	5270.6
L2b1	13399.8	4179.4
L2b1a	10887.9	3195.2
L2b1a2	8906.4	3366.3
L2b1a3	6499.5	4172.2
L2b1b	2589.9	3637.3
L2b3	21259.4	6347.5
L2b3a	9709.2	4921.1
L2c	17761.5	4585.9
L2c2	11131	3594.5
L2c2a	5345.6	4015.3
L2c2b	7741	3394.8
L2c3	15568.6	4757.1
L2d	17001.9	5883.9
L2d1	15021.4	5634.3
L2d1a	5612.4	3630.2
L36	71383.9	6163.2
L6	22331.2	6154.9
L6a	18282.5	5812.6
L6b	17029.7	6105
L34	64401.1	5069
L4	78996.2	7353.1
L4a	39811.7	7531.4
L4a1	22977.9	6511.5
L4a1a	16600.9	5727
L4a2	29767.1	8408.7
L4b	77142.7	7524.3
L4b2	46740.8	7424.4
L4b2a	43526.5	7224.7
L4b2a1	15093.1	7324.6
L4b2a2	28140.1	5320.5
L4b2a2a	21458.6	5734.2
L4b2a2b	15496.7	5798.3
L3	67262	4433.6
L3a	49689.3	8879.4
L3bf	63051.8	10377.1
L3b	21538.3	5349
L3b1	17258.5	4578.8
L3b1a	13931.5	3095.3
L3b1a1	8869	4564.5
L3b1a1a	4735.4	3944
L3b1a2	12422.5	3430.5
L3b1a3	7227.4	4429
L3b1a4	8123.3	4250.7
L3b1b	7148.2	3794.2
L3b1b1	5324.7	3295
L3b3	3728.7	4179.4
L3f	46304.6	6910.9
L3f1	40013.2	6918.1
L3f1a	24086.7	7246.1
L3f1b	11358.3	3273.6
L3f1b1	2359.1	2467.7
L3f1b2	9066.7	3537.5
L3f1b2a	3847.7	3387.7
L3f1b4	8064.8	3223.7
L3f1b4a	4891.6	2909.9
L3f1b4a1	2477	2859.9
L3f2	42379.9	8266
L3f2b	25432.2	7239
L3f3	5743.3	4878.3
L3f3a	3542.6	3423.4
L3cdj	54573.7	8137.6
L3c	9243.1	5505.9
L3d	25739.3	4029.6
L3d1	23672.4	3651.6
L3d1a	16284	4129.4
L3d1a1	13684.6	4001.1
L3d1a1a	3356.7	3309.3
L3d1b	19898.6	4207.9
L3d1b1	15862.2	5170.7
L3d1b2	7783.5	4607.3
L3d1c	12607.7	4471.8
L3d2	13964.4	6732.6
L3d3	18546.3	5798.3
L3d4	18338.6	6968
L3eikx	49720.8	5734.2
L3e	36189	5612.9
L3e1	14569.3	3038.2
L3e1a	13252	3259.3
L3e1a2	951.2	1326.6
L3e1a3	9983	4158
L3e1b	12232	3772.8
L3e1c	8112.7	4108.1
L3e1d	9173.6	4329.1
L3e1e	10779.9	4286.4
L3e1f	14569.3	7702.6
L3e2	19796.9	7146.3
L3e2a	10052.8	5042.3
L3e2a1	8298.8	3530.4
L3e2a1a	1047.7	2439.2
L3e2a1b	5816.6	2710.2
L3e2a1b1	2128.6	1961.3
L3e2a1b2	2815.9	2567.5
L3e2b	11531.6	3252.2
L3e2b1	9098.7	3501.8
L3e2b1a	7354.4	3287.9
L3e2b1a1	5444.9	3993.9
L3e2b2	8975.8	3715.8
L3e2b3	3155.6	3059.6
L3e345	32503.6	5484.5
L3e34	30292.1	5477.4
L3e3	11569.5	4457.5
L3e3a	1663.6	3451.9
L3e3b	3635.6	2118.2
L3e3b1	2436	1975.6
L3e3b2	1235.7	1640.4
L3e4	16857	5891.1
L3e5	14453.6	6896.7
L3i	41231.1	8658.3
L3i1	13077.1	6910.9
L3i2	1485.2	4749.9
L3k	23983	6882.4
L3k1	5105.4	4122.3
L3x	36750.4	5655.7
L3x1	28884.8	6618.5
L3x2	29355	5862.5
L3x2a	21840.3	5356.2
L3x2a1	15502.2	4578.8
L3x2a1a	7661.5	3951.1
L3h	59422.4	4899.7
L3h1	47083.8	5933.9
L3h1a	40141.5	6326.1
L3h1a2a	16050.8	6076.5
L3h1a2b	34799.1	7510
L3h1b	38289.3	6426
L3h1b1	35773.1	6361.8
L3h1b1a	29061	6639.9
L3h1b2	12755	5527.3
M	49590.1	1824
M12051	47641.3	2851.2
M1	23679.9	4377.6
M1a	19183	3225.6
M1a1	12910.6	3340.8
M1a1a	1199.6	6019.2
M1a1b	7852.4	3072
M1a1b1	5751.4	3369.6
M1a1c	0	11692.8
M1a1d	5244.5	4416
M1a1e	9813.6	4022.4
M1a2	16732.9	4051.2
M1a2a	4648.1	4531.2
M1a2b	9712.4	4972.8
M1a3	11198.9	4944
M1a3a	6592.8	5040
M1a3b	8761.9	4800
M1a4	9922	5049.6
M1a5	4207.5	3475.2
M1b	20323.5	4876.8
M1b1	7566.9	4416
M1b1a	2519.8	2515.2
M1b2	12932.6	5644.8
M1b2a	6897.9	4828.8
M51	26435.1	5750.4
M51a	24253.2	5635.2
M51a1	18547	5433.6
M51a1a	7381.6	4358.4
M2	36278.4	6086.4
M2a	29633.4	5904
M2a1	17213.1	4329.6
M2a1a	13639.5	3552
M2a1a1	5617.5	3427.2
M2a1a1a	4200.5	3312
M2a1a1a1	980.8	1420.8
M2a1a1b	2416.2	3158.4
M2a1a1b1	932.9	2784
M2a1a2	10196.9	5289.6
M2a1a2a	7545.5	4627.2
M2a1a2a1	1549.2	2121.6
M2a1a2a1a	0	4992
M2a1a3	7360.2	5683.2
M2a1a3a	2997.1	2409.6
M2a1a3a1	1090.2	2140.8
M2a1a3b	3392.6	2774.4
M2a1b	1179.1	1776
M2a1c	11111.5	4828.8
M2a2	6741.8	4329.6
M2a2a	1309.2	2534.4
M2a3	14267.6	6182.4
M2a3a	11636.2	6009.6
M2b	14245.4	3926.4
M2b1	12111.3	3734.4
M2b1a	1988.9	1958.4
M2b1b	823.7	1824
M2b2	9813.6	8227.2
M3	23904.4	7132.8
M3a	15351.2	5596.8
M3a1	6055	6048
M3a2	10016	4300.8
M3a2a	1343.5	2064
M3b	1872	2601.6
M3c	21907.1	7228.8
M3c1	13964.4	6057.6
M3c1a	11526.8	6355.2
M3c1b	9114.2	4435.2
M3c1b1	4606.1	3552
M3c1b1a	1042.3	1440
M3c1b1b	1418.8	2544
M3c2	17070.4	7296
M467	34529.5	4204.8
M4	12734.3	7315.2
M65	25256	6528
M65a	17694.4	6172.8
M65b	8711.7	5990.4
M67	1131.2	1584
M1838	32198.5	4588.8
M18	18773.9	7094.4
M18a	9799.1	5472
M18b	10530.3	5040
M38	26724.8	5529.6
M38a	14697.4	6211.2
M38b	8690.1	4262.4
M38c	5237.5	4022.4
M30	17431.1	4012.8
M30a	6699.2	3801.6
M30a1	5328.9	3292.8
M30a2	1693.3	2659.2
M30b	11315.4	4684.8
M30c	11359.1	7401.6
M30c1	11359.1	6249.6
M30c1a	6656.6	4416
M30d	9351.8	6940.8
M30d1	5892.5	5030.4
M30e	2630.3	5260.8
M30f	13772.4	4118.4
M37	29269	7027.2
M37a	9366.2	5673.6
M37a1	3552.4	3686.4
M37d	3552.4	6355.2
M37e	15641.7	7228.8
M37e2	11337.3	6537.6
M43	25965.9	5654.4
M43a	21538.9	6355.2
M45	28171	6624
M45a	11701.9	5904
M64	12624.2	5289.6
M66	17378.4	7833.6
M5	37067.2	14803.2
M5ad	23347.5	7814.4
M5a	17370.9	4425.6
M5a1	11869.9	4425.6
M5a1b	7246.3	4041.6
M5a2	13536.3	4339.2
M5a2a	11475.7	3532.8
M5a2a1	8740.4	4185.6
M5a2a1a	6267.1	4512
M5a2a2	7061.4	4089.6
M5a2a3	1665.8	2352
M5a3	7517	10924.8
M5a3a	0	13574.4
M5a3b	1384.6	7891.2
M5a4	10312.8	4972.8
M5a5	1906.4	10473.6
M5d	13602.6	5664
M5bc	37067.2	7459.2
M5b	32062.4	7036.8
M5b1	15731.2	7872
M5b2	23208.4	6364.8
M5b2a	16972.9	6432
M5b2b	20407.3	6412.8
M5c	31542.9	7430.4
M5c1	17649.3	7401.6
M6	20659.1	6614.4
M6a1	14104.9	5961.6
M7	44926.1	3484.8
M7a	22707.1	5385.6
M7a1	17213.1	4464
M7a1a	10139	2236.8
M7a1a1	5146.1	3043.2
M7a1a1a	2561.2	2390.4
M7a1a2	4487.1	2649.6
M7a1a3	5061.8	3321.6
M7a1a4	7338.9	2620.8
M7a1a4a	2064.7	2179.2
M7a1a5	6210.5	3532.8
M7a1a6	7025.8	3993.6
M7a1a7	7032.9	4579.2
M7a1a8	7025.8	3705.6
M7a1b	12118.6	4531.2
M7a2	19061.7	5865.6
M7a2a	13838.8	5692.8
M7a2a1	5328.9	4732.8
M7a2a2	8095.4	5299.2
M7bg	42895.5	3811.2
M7bdg	40828	4214.4
M7bd	31542.9	5750.4
M7b	23563.9	5366.4
M7b124	16680.5	5404.8
M7b1	13278.4	6892.8
M7b2	7047.2	3004.8
M7b2a	3101.1	3686.4
M7b2b	4102.8	2880
M7b2c	3101.1	3292.8
M7b4	7061.4	4819.2
M7b3	10907.9	4396.8
M7b3a	9596.9	4089.6
M7d	2886.3	3859.2
M7g	19281.6	6806.4
M7cef	31064.2	5654.4
M7c	22953.7	4828.8
M7c1	17581.5	4627.2
M7c1a	8260	6124.8
M7c1b	8711.7	4214.4
M7c1b1	6720.5	3657.6
M7c1d	6557.4	3840
M7c2	19592.9	5308.8
M7c2a	4193.5	5664
M7c3	16179.1	6278.4
M7c3b	11249.8	6019.2
M7c3c	10537.5	4608
M7c3c1	8345.9	4300.8
M7e	6408.6	5769.6
M8	36473.3	7276.8
M8a	20506.5	7670.4
M8a23	17017.9	6134.4
M8a2	13285.7	6566.4
M8a2a	7588.3	3763.2
M8a2b	3900.5	4176
M8a3	14386.1	6038.4
CZ	36473.3	7392
C	23912.2	4780.8
C1	18252.3	4233.6
C1a	4837.3	5376
C1b	14793.8	3043.2
C1b1	12030.8	3888
C1b2	1288.7	1958.4
C1b4	1083.3	1516.8
C1b5	10421.5	3360
C1b5a	6316.6	3676.8
C1b5b	7054.3	3177.6
C1b6	1425.7	1987.2
C1c	12873.8	3859.2
C1c1	7274.8	4416
C1c1b	4907.4	3590.4
C1c2	2533.6	2419.2
C1c3	2720.2	2284.8
C1c4	6118.6	3830.4
C1d	15500.2	5232
C1d1	11381	3993.6
C1d1a	6437	3993.6
C1d1a1	1275	1756.8
C1d1b	6670.8	4176
C1d1b1	3949.3	3561.6
C1d1c	6869.5	4790.4
C1d1c1	3191.2	2899.2
C1d2	10755.3	4483.2
C1d2a	4263.4	4128
C4	18728.5	5836.8
C4abc	18728.5	3542.4
C4a	17717	3427.2
C4a15	16029.7	3638.4
C4a1	11300.8	3907.2
C4a1a	5033.7	2956.8
C4a1c	4270.3	2620.8
C4a1c1	1357.2	2102.4
C4a1d	4319.3	2947.2
C4a5	6890.8	4540.8
C4a234	16396	3360
C4a2	4123.7	3129.6
C4a3	10617.3	3772.8
C4a3a	6012.6	3734.4
C4a4	10066.6	4224
C4a4a	1042.3	1545.6
C4b	6997.4	2620.8
C4b1	2713.3	2246.4
C4b1a	1569.7	1881.6
C4b2	1329.8	1891.2
C4b3	4858.3	2995.2
C4b3a	2464.6	2524.8
C4b5	1720.8	8457.6
C4b6	3087.2	2736
C4b7	1329.8	1824
C4b8	1995.8	1929.6
C4c	13359.4	3955.2
C4c1	10095.5	4550.4
C4e	3177.4	3148.8
C5	17890.3	7785.6
C5a	8920	5404.8
C5a1	1501.1	2131.2
C5a2	2333.4	5088
C5b	17890.3	8275.2
C5b1	13646.9	4963.2
C5b1a	7545.5	3542.4
C5b1a1	1768.9	4646.4
C5b1b	2609.6	2736
C5c	6933.5	4137.6
C5c1	3837.8	2409.6
C5c1a	2554.3	1968
C5d	12396.9	4992
C5d1	2803.2	2726.4
C7	20628.6	4502.4
C7a	17702	4406.4
C7a1	12426.2	4195.2
C7a1a	9056.6	4896
C7a1a2	0	10012.8
C7a1c	7495.6	4454.4
Z	21661.6	8380.8
Z1	15962.5	4819.2
Z1a	6316.6	2851.2
Z1a1	4634.1	2678.4
Z1a1a	1049.1	1420.8
Z1a2	4774.2	3062.4
Z2	1576.6	2342.4
Z3	15835.6	4396.8
Z3a	9669.1	4204.8
Z3a1	7509.8	4060.8
Z3a1a	4074.8	3782.4
Z3a2	1015	3955.2
Z3b	5758.5	6576
Z4	16665.5	4320
Z4a	12477.5	4540.8
Z7	1233.9	3264
M9	38446.5	8390.4
M9ab	27187.6	8131.2
M9a	17852.6	3494.4
M9a1	15567.2	2928
M9a1a	13934.8	2812.8
M9a1a1	12470.2	2678.4
M9a1a1a	5772.6	4185.6
M9a1a1b	7716.7	3484.8
M9a1a1c	9164.5	3379.2
M9a1a1c1	7367.3	3427.2
M9a1a1c1a	4221.4	3456
M9a1a1c1b	4019	4099.2
M9a1a1d	8102.5	4176
M9a1a2	6153.9	5443.2
M9a1b	9416.6	3984
M9a1b1	6557.4	2102.4
M9a1b1a	5469.6	2179.2
M9a1b1a1	2037.1	2352
M9a1b1b	2305.8	2179.2
M9a1b1c	4942.5	2812.8
M9a1b2	3225.9	3494.4
M9a4	14164	5539.2
M9a4a	11840.7	4972.8
M9a4a1	8604	4675.2
M9a5	7338.9	5241.6
M9b	2699.5	2688
E	23695.4	6902.4
E1	11986.9	4732.8
E1a	8647.1	3312
E1a1	7623.9	3216
E1a1a	6883.7	2428.8
E1a1a1	5153.1	2947.2
E1a1a2	4277.3	2313.6
E1a2	5575.2	4406.4
E1b	4935.5	2966.4
E1b1	2761.7	2592
E2	10131.7	4444.8
E2a	8002.4	3945.6
E2a1	5272.6	5107.2
E2b	6635.4	5673.6
E2b1	3935.4	3628.8
M10	24493.8	7228.8
M10a	15753.6	7804.8
M10a1	9452.7	4012.8
M10a1a	4137.7	3072
M10a2	9265.3	6518.4
M11	20987.7	5740.8
M11ab	16209	4396.8
M11a	11972.3	3523.2
M11a1	8668.6	4041.6
M11a2	8776.3	3715.2
M11b	12962	4819.2
M12G	47305	3552
M12	31287.5	5731.2
M12a	26020.6	5808
M12a1a	18690.7	6067.2
G	31614.8	5193.6
G1	21492.9	5414.4
G1a	18139.1	5462.4
G1a1	11257.1	4032
G1a1a	5892.5	2188.8
G1a1a1	2796.3	2476.8
G1a1a2	3608.1	2678.4
G1a1a3	2381.7	1852.8
G1a1a4	2796.3	3283.2
G1a3	6451.1	4521.6
G1b	7246.3	5088
G1c	12910.6	6009.6
G2	26787.5	4617.6
G2a	17145.5	5270.4
G2a1	14045.7	4742.4
G2a1b	2181.8	3868.8
G2a1c	4606.1	9638.4
G2a1c1	4606.1	3753.6
G2a1d	7303.3	3657.6
G2a1e	2983.3	2985.6
G2a5	1199.6	1670.4
G2b	22776.4	5059.2
G2b1	16830.4	5616
G2b1a	13366.8	5443.2
G2b1b	4662.1	4492.8
G2b2	20476	5481.6
G2b2a	15328.9	6057.6
G3	23919.9	6931.2
G3a	18932.9	6998.4
G3a1	3754.2	3100.8
G3a2	1240.7	9225.6
G3b	13271	5568
G3b1	10958.7	5500.8
G4	9258.1	4732.8
M134661	46675.2	3724.8
M13	43169.4	4944
M13a	19266.4	6720
M13a1	9539.2	6249.6
M13a1a	2685.6	2841.6
M13a1b	4277.3	3964.8
M13a2	8726	4828.8
M13b	31191.8	6873.6
M13b1	22537.6	7123.2
M13b2	5441.4	3888
M46	1233.9	4550.4
M61	5483.7	4310.4
M14	41926.2	6172.8
M17	43701.2	5193.6
M17a	18849.6	6624
M17c	40317.3	8880
M21	45460.7	4617.6
M21a	22822.7	7891.2
M21cd	38561	6326.4
M21c	6805.6	4857.6
M21d	8217	6624
M22	40646.6	5568
M22a	29419.5	7891.2
M22b	38282.9	5952
M2375	47801.2	2697.6
M23	5970.2	4464
M75	28992.1	6499.2
M26	2664.9	8140.8
M27	45335.3	3494.4
M27a	2858.6	2371.2
M27b	973.9	1372.8
M27c	5533	6096
M28	29023.7	6144
M28a	14193.6	5193.6
M28b	22276	6105.6
M29Q	46641.6	3830.4
M29	13905.3	6316.8
M29a	1995.8	1968
M29b	7381.6	7526.4
Q	37539.8	5635.2
Q12	37539.8	8601.6
Q1	18161.8	7344
Q1a	15574.7	4828.8
Q1b	14690	4924.8
Q2	28731.3	7296
Q2a	15306.6	5904
Q3	31024.4	6038.4
Q3a	26435.1	6316.8
M31	35451.2	6451.2
M31a	29982.5	6729.6
M31a1	5906.7	3964.8
M31a1a	0	9427.2
M31a1b	4158.6	3216
M31a2	4879.4	4636.8
M3256	43618.1	6614.4
M32	38193	7814.4
M32a	7452.8	5289.6
M56	21393.3	11270.4
M33	42331.8	9388.8
M33a	29371.9	8217.6
M33a1	29371.9	10790.4
M33a1a	6947.7	5529.6
M33a1b	7388.7	6172.8
M33a2	15753.6	5856
M33a2a	6118.6	4224
M33a3	23865.7	7843.2
M33b	26991.4	6115.2
M33b1	20209.1	5712
M33c	12763.7	6950.4
M33d	5167.2	3926.4
M3457	44967.8	5011.2
M34	26818.9	6787.2
M34a	17235.6	5913.6
M34b	4760.2	4080
M57	30220.7	8448
M57a	22506.8	7776
M57b	14920	6537.6
M57b1	5561.1	4896
M35	39085.2	9964.8
M35a	16238.9	6249.6
M35a1	11308.1	5030.4
M35a1a	5469.6	4060.8
M35a2	12257.7	6422.4
M35b	24470.5	6643.2
M35b1	5012.7	5510.4
M35b2	16373.5	6182.4
M35c	16351.1	8188.8
M36	32094.4	7017.6
M36c	1343.5	9225.6
M36d	20666.8	9129.6
M36d1	1631.5	5913.6
M3970	37605.1	7920
M39	26638.7	5750.4
M39a	12822.4	4905.6
M39a1	9121.4	5040
M39a2	2526.7	3283.2
M39b	16291.2	5548.8
M39b1	11315.4	5500.8
M39b2	12426.2	5875.2
M70	1501.1	2400
M4062	46473.9	3945.6
M40	31511	7910.4
M40a	13462.6	5587.2
M40a1	9071	3532.8
M40a1a	4019	3254.4
M40a1b	4802.2	3561.6
M62	22352.9	8256
M62a	8991.9	5049.6
M62b	20049.2	8169.6
M41	10153.4	4137.6
M41a	8059.6	5404.8
M41b	7623.9	3907.2
M41c	5068.8	3408
M4274	49590.1	8064
M42	47691.8	7958.4
M42b	40259.7	6998.4
M42b1	23912.2	6844.8
M42b1a	6976.1	6163.2
M74	35078.9	7152
M74a	10189.6	6652.8
M74b	25466.4	6374.4
M74b1	2962.5	3014.4
M44	8252.8	6931.2
M44a	2361	1939.2
M44a1	919.3	1228.8
M49	30125.4	7305.6
M49ab	7040	4790.4
M49c	21324.4	7852.8
M49d	15165.3	6960
M50	40811.5	6297.6
M5258	42447.8	8131.2
M52	34658.7	8083.2
M52a	24423.9	7766.4
M52a1	5047.8	6432
M53	19904.6	7084.8
M53b	9099.8	5337.6
M60	33498.2	9292.8
M60a	19236.1	8361.6
M60b	1309.2	2361.6
M71	35127.5	6537.6
M71a	31606.8	6451.2
M71a1	18599.9	7497.6
M71b	8927.2	5913.6
M71c	6529.1	4896
M72	13219.5	9763.2
M7379	44642.4	4790.4
M73	33192.8	6326.4
M73a	23525.2	7027.2
M73b	9987	6412.8
M76	31104.1	7036.8
M76a	1206.5	1920
D	38434.1	4738.6
D4	24579.9	1947.5
D1	16792.3	2931.7
D1a	15239.1	3473.1
D1a1	3583.3	2882.5
D1b	1504.1	2235.7
D1c	3659.7	4119.9
D1d	1368.6	1898.3
D1e	8093.8	4675.3
D1f	15217.3	3198.9
D1f1	6825.6	4471.4
D1g	11596.8	4401.1
D4a	14994.1	3374.7
D4a1	7863.5	2242.7
D4a1a	5505.3	2847.4
D4a1a1	3914.7	2636.5
D4a1b	5211.6	3051.3
D4a1b1	2583.1	5835.4
D4a1c	3283	3923.1
D4a1d	3283	3733.2
D4a1e	4774.7	3220
D4a1f	5206.5	2896.6
D4a2	8245.8	4239.4
D4a2a	1208.1	1666.2
D4a3	12991.5	3409.8
D4a3a	11746.5	3852.7
D4a3b	11287.1	3634.8
D4b	23529.9	2137.3
D4b1	18944.6	2748.9
D4b1a	17595.4	3030.2
D4b1a1	5722	2896.6
D4b1a1a	2745.1	3269.2
D4b1a2	13773.8	3452
D4b1a2a	10754.4	3613.7
D4b1a2a1	7989.1	4007.4
D4b1a2a2	3054.4	4134
D4b1b	12212.4	3796.5
D4b1b1	7936.7	4042.6
D4b1b1a	2320.2	2622.4
D4b1b1a1	907.6	1371
D4b1b2	9382.1	4070.7
D4b1c	11719.8	4471.4
D3	1268.2	1975.6
D4b2	16567.3	2692.7
D4b2a	14434.6	3100.5
D4b2a1	1579.5	2193.5
D4b2a2	8960.4	3691
D4b2a2a	3817.7	3093.4
D4b2a2b	3486.5	3944.1
D4b2b	12932.3	2805.2
D4b2b1	7623	3234.1
D4b2b1a	5975.2	3030.2
D4b2b1b	1393.7	1898.3
D4b2b2	9836.6	4281.6
D4b2b3	3608.7	2706.8
D4b2b4	10318.8	3522.3
D4b2b5	11009.9	3480.1
D4b2d	1358.5	2348.2
D4c	20883.7	4098.8
D4c1	15833.8	5012.8
D4c1a	4211.1	2741.9
D4c1a1	2229.3	2249.8
D4c1b	7080.6	3965.2
D4c1b1	2745.1	3367.6
D4c2	12276.7	4429.3
D4c2a	1168	1624.1
D4c2b	7435	4626.1
D4c2c	3924.9	4830
D4e	18606.4	3585.6
D4e13	16457.7	3459
D4e1	15043.1	3283.3
D4e1a	8886.7	3037.2
D4e1a1	3222	2692.7
D4e1a2	7461.1	3072.4
D4e1a2a	2083	2130.3
D2	12003.4	3311.4
D2ab	9181.6	3051.3
D2a	5587.8	2439.6
D2a1	4467	2299
D2a1a	2897.1	2341.2
D2a1b	1022.7	1462.4
D2a2	2704.6	2362.3
D2b	6716.5	2952.8
D2b1	4032.2	2474.8
D2b1a	2158.6	2432.6
D2b2	2340.4	2798.2
D4e2	5866.7	2910.7
D4e2a	2785.6	3128.6
D4e2b	3598.5	3220
D4e2c	2785.6	2474.8
D4e4	9334.6	3937.1
D4e4a	7335.9	3852.7
D4e4a1	1127.9	1567.8
D4e4b	1534.3	2095.1
D4e5	10239.2	4619.1
D4f	17827	6278.3
D4f1	4303.2	4021.5
D4g	22879.6	2608.3
D4g1	5975.2	2566.2
D4g1a	2876.9	2284.9
D4g1b	2168.7	2559.1
D4g1c	3649.5	3030.2
D4g2	19800.5	3227
D4g2a	16699	3979.3
D4g2a1	13093.8	4949.5
D4g2a1a	3394.9	3543.4
D4g2b	17132.9	4126.9
D4h	21500.2	2376.3
D4h1	17320	4738.6
D4h1a	8650	6369.7
D4h1a1	1479	2067
D4h1a2	0	8823.4
D4h1b	6872.4	6123.6
D4h3	18257.8	2917.7
D4h3a	12953.8	2580.2
D4h3a1	10478	2812.2
D4h3a1a	6721.7	3234.1
D4h3a1a1	3135.7	2770
D4h3a1a2	3970.9	2981
D4h3a2	10361.2	3775.4
